,Titre,Company,Summaries,avg,cityfrance,city
446,Développeur PHP Symfony Backend/Fullstack H/F,OpenClassrooms,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…,2100.0,['Tassin-la-Demi-Lune (69)'],Tassin-la-Demi-Lune (69)
450,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,Gamestream,"Harry Hope, cabinet de recrutement, accompagne les candidats dans leurs recherches d’opportunités sur l’ensemble du Grand-Est.",2355.0,['France'],France
451,Développeur (F/H) DEV-PRE-PNL80,Euro Information,"Rattaché à l'un de nos Team Managers en qualité de Consultant Engineer, au sein de la solution Digitale d’Altran, vous accompagnerez nos clients sur divers…",2100.0,['Tassin-la-Demi-Lune (69)'],Tassin-la-Demi-Lune (69)
453,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Nuamouv,"Vous souhaitez contribuer aux développements d'applications innovantes nécessaires à l'amélioration de la gestion de code source (qualité, analyse,…",2355.0,['Craponne (69)'],Craponne (69)
454,Développeur Full Stack et Web (F/H) DW-PRE-NA158,HAYS,Rejoignez une équipe de développeurs passionnés qui évolue au sein d'un environnement bancaire dans le but de répondre aux demandes d'évolutions des…,2100.0,['France'],France
456,Chef de bureau reporting / business intelligence H/F,OpenClassrooms,"Donnez un nouveau souffle à votre carrière !
Notre client est une société spécialisée dans le domaine des télécommunications et de l’infrastructure réseau très…",2355.0,['Lozanne (69)'],Lozanne (69)
458,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,OpenClassrooms,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2100.0,"[""Champagne-au-Mont-d'Or (69)""]",Champagne-au-Mont-d'Or (69)
460,Développeur Logiciel Front-End (H/F),Premista,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2355.0,['Craponne (69)'],Craponne (69)
463,ANALYSTE CONTRÔLE QUALITÉ CODE SOURCE (H/F),Armée de Terre,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2100.0,['Tassin-la-Demi-Lune (69)'],Tassin-la-Demi-Lune (69)
465,Lead Developer H/F,Pharmagest,"En tant que développeur informatique, votre spécialité, vous participez à l'installation, à la mise en oeuvre et à l'exploitation de réseaux informatiques.",2355.0,['France'],France
466,Consultant Développeur JAVA | J2EE (Lorraine) F/H,Verdi,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2100.0,['Tassin-la-Demi-Lune (69)'],Tassin-la-Demi-Lune (69)
470,Développeur (F/H) DEV-PRE-PNL80,Crédit mutuel,"Expectra, leader en France de l'intérim spécialisé et du recrutement en CDI de cadres et agents de maîtrise.
Nous recherchons pour le compte de notre client un…",2355.0,['Craponne (69)'],Craponne (69)
471,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,IT link,"De formation informatique Bac+5, vous justifiez de 2/3 ans d’expérience dans la fonction de développeur(se) ainsi que dans la réalisation de site web.",2100.0,['Lyon 9e (69)'],Lyon 9e (69)
473,Développeur Full Stack et Web (F/H) DW-PRE-NA158,VERSUSMIND,"Smarteo recherche pour l’un de ses clients, grand compte, un développeur développeur Java JEE/Angular sur Nancy.",2100.0,['Tassin-la-Demi-Lune (69)'],Tassin-la-Demi-Lune (69)
477,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,OpenClassrooms,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2355.0,['Lozanne (69)'],Lozanne (69)
479,ECONOMISTE DE LA CONSTRUCTION H/F,Premista,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2355.0,['Craponne (69)'],Craponne (69)
480,Chef de projet confirmé(e) IAM F/H,Marine Nationale,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2100.0,['Lyon 9e (69)'],Lyon 9e (69)
482,Responsable de centre de profit en création (H/F),OpenClassrooms,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…,2567.5,['Tassin-la-Demi-Lune (69)'],Tassin-la-Demi-Lune (69)
484,DÉVELOPPEUR FULL STACK (F/H),GEZIM,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2355.0,['France'],France
485,Developpeur web PHP confirmé F/H,Orange,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2100.0,['Tassin-la-Demi-Lune (69)'],Tassin-la-Demi-Lune (69)
490,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Expectra.fr,"O Accompagnement et « coaching » des développeurs intervenant sur le produit.
Animer votre équipe de développeurs (Interne et/ou Externe) :",2355.0,['Bordeaux (33)'],Bordeaux (33)
491,Développeur Full Stack et Web (F/H) DW-PRE-NA158,Armée de l'Air,"Dans le cadre de son développement, ARKETEAM recherche un développeur web PHP confirmé pour son agence de Nancy.
Pour intégrer une équipe dynamique,.",2100.0,['France'],France
492,Développeur (F/H) DEV-PRE-PNL80,Euro Information,"Développeurs php symfony backend / fullstack nancy ou similaire: 1 an (Requis).
Gamestream® est le leader mondial des solutions de streaming de jeux vidéo en…",2500.0,['Mérignac (33)'],Mérignac (33)
495,DÉVELOPPEUR INFORMATIQUE (H/F),OpenClassrooms,Vous coordonnez et managez une équipe d’une dizaine de développeurs en interne et gérez également les ressources externes.,2100.0,['Bordeaux (33)'],Bordeaux (33)
496,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,OpenClassrooms,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2355.0,['Bordeaux (33)'],Bordeaux (33)
500,Analyste Testeur h/f,Marine Nationale,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…",2100.0,['Bordeaux (33)'],Bordeaux (33)
503,Développeur .NET (F/H),T&S,"En tant que développeur informatique, votre spécialité, vous participez à l'installation, à la mise en oeuvre et à l'exploitation de réseaux informatiques.",2355.0,['Bordeaux (33)'],Bordeaux (33)
506,Développeur Java Angular H/F,T&S,"Une société de conseil Franco-allemande de plus de 1000 collaborateurs présente en France et à l'international, en pleine expansion, spécialisée dans deux…",2355.0,['Bordeaux (33)'],Bordeaux (33)
510,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Humaniak,"Une société de conseil Franco-allemande de plus de 1000 collaborateurs présente en France et à l'international, en pleine expansion, spécialisée dans deux…",2100.0,['Bordeaux (33)'],Bordeaux (33)
512,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,Pharmagest,"Description de l'entreprise : Notre client XS Groupe, est une entreprise franco-allemande d’accompagnement de projets dans l’industrie, familiale et…",2355.0,['Bordeaux (33)'],Bordeaux (33)
514,DÉVELOPPEUR INFORMATIQUE (H/F),Premista,Muni d'un véritable tempérament de business développeur vous avez l'habitude de démultiplier les démarches directes et indirectes pour approcher vos cibles.,2100.0,['Bordeaux (33)'],Bordeaux (33)
515,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,OpenClassrooms,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",2355.0,['Bordeaux (33)'],Bordeaux (33)
516,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,OpenClassrooms,"Le groupe Premista a fait le choix de maîtriser tous ses outils métiers et dans ce cadre, nous cherchons à renforcer notre équipe de développeurs/euses pour…",2100.0,['Bordeaux (33)'],Bordeaux (33)
517,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,Premista,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !",1000.0,['Bordeaux (33)'],Bordeaux (33)
522,INGENIEUR COMMERCIAL REIMS H/F,OpenClassrooms,"En tant que développeur informatique, votre spécialité, vous participez à l'installation, à la mise en oeuvre et à l'exploitation de réseaux informatiques.",2355.0,['Bordeaux (33)'],Bordeaux (33)
527,Développeur Full Stack et Web (F/H) DW-PRE-NA158,IT link,"Notre société, acteur reconnu sur son marché intervient dans la vente de solutions pour tous types d’applications hydrauliques.",2100.0,['Bordeaux (33)'],Bordeaux (33)
528,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Pharmagest,"Vous avez un tempérament de développeur et vous disposez d'un bon relationnel.
Une PME nationale et familiale renforce ses équipes.",2100.0,['Mérignac (33)'],Mérignac (33)
