,Titre,Company,Location,Salary,Summaries
1556,Développeur Windev (H/F),TOMORROW JOBS,Nice (06),,Il sera responsable de la qualification des données en les nettoyant et en les validant afin d’en faciliter l’exploitation par les équipes de data analysts et…
1557,Développeur Java (F/H),CAMO Groupe,France,,"Vous êtes en quête d’un nouveau challenge au sein d’une équipe dynamique ?
Hormis son musée Pompidou et sa splendide cathédrale, la ville de Metz a de nombreux…"
1558,Développeur Java h/f,Blique Actimum,France,,"Reconnu pour votre goût du challenge, vous êtes un vrai développeur commercial en quête de résultats positifs et prometteurs pour votre secteur et l’ensemble du…"
1559,Analyste Testeur h/f,Altran,France,,"Effectuer les analyses, développements, paramétrages et tests jusqu’à la mise en production avec les équipes du client.
Une formation de niveau Bac +2 à Bac+5."
1560,Développeur .NET (F/H),Blique Actimum,Monaco (06),,"Intégré(e) dans l'équipe Leader de Projet et en lien transversal avec les équipes commerciales et les équipes de développeurs, vous intervenez dans les phases d…"
1561,Développeur Java Angular H/F,Actimage,France,,"Reconnu pour votre goût du challenge, vous êtes un vrai développeur commercial en quête de résultats positifs et prometteurs pour votre secteur et l’ensemble du…"
1562,Analyste Testeur Agile / Devops h/f,Smarteo,Nice (06),,"Intégré(e) dans une équipe de développeurs en charge d'applications WEB, vous devrez migrer une application lourde en mettant en place des interfaces Web pour…"
1563,Ingénieur études et développement Java F/H,Pharmagest,Nice (06),,"Smarteo recherche pour l’un de ses clients, grand compte,Un Développeur Java Angular sur Florange.
Objectif du projet Développer des applications sur Java /…"
1564,Directeur ingénierie bâtiment H/F,T&S,Nice (06),,"Contribuer au développement business en aidant à la préparation des réponses aux appels d'offres.
Vous êtes diplômé de l'enseignement supérieur (minimum BAC+3),…"
1565,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,OpenClassrooms,Nice (06),,"Une société de conseil Franco-allemande de plus de 1000 collaborateurs présente en France et à l'international, en pleine expansion, spécialisée dans deux…"
1566,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,OpenClassrooms,France,,"3-5 ans d’expérience min.
Domaines d’expertise : Informatique de gestion , WinDev.
Niveau d’études : Bac+2, Bac+4, Maîtrise, MIAGE."
1567,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,OpenClassrooms,France,,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1568,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,OpenClassrooms,France,,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1569,Développeur Java,UEM,Monaco (06),,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1570,Officier commissionné - Data Engineer H/F,OpenClassrooms,France,,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1571,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,Marine Nationale,Nice (06),,"Rattaché à un groupe de développement de 5 à 10 collaborateurs, vous êtes en charge de la conception, de la réalisation du développement et de l'écriture de…"
1572,Chef de bureau reporting / business intelligence H/F,Marine Nationale,Nice (06),,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1573,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,T&S,Nice (06),,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…
1574,Développeur Java,T&S,France,,Il sera responsable de la qualification des données en les nettoyant et en les validant afin d’en faciliter l’exploitation par les équipes de data analysts et…
1575,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,T&S,France,,"Une société de conseil Franco-allemande de plus de 1000 collaborateurs présente en France et à l'international, en pleine expansion, spécialisée dans deux…"
1576,Technico-Commercial h/f,Pharmagest,Nice (06),,"Une société de conseil Franco-allemande de plus de 1000 collaborateurs présente en France et à l'international, en pleine expansion, spécialisée dans deux…"
1577,Chargé d’Affaires Ingénierie H/F par Humanys,Humaniak,France,,Vous disposez d’une expérience d’analyste testeur ou de développeur avec une appétence pour les tests (1an minimum) et vous désirez évoluer dans une équipe…
1578,INGENIEUR COMMERCIAL REIMS H/F,polymont,France,,"Une société de conseil Franco-allemande de plus de 1000 collaborateurs présente en France et à l'international, en pleine expansion, spécialisée dans deux…"
1579,Conseiller clientèle bancaire confirmé H/F,Pharmagest,Nice (06),,"Description de l'entreprise : Notre client XS Groupe, est une entreprise franco-allemande d’accompagnement de projets dans l’industrie, familiale et…"
1580,"Chef de secteur Nord-Est GSA, GSS H/F",Pharmagest,Nice (06),,"Prendre part à l’aventure Polymont IT Services, c’est se donner la possibilité d’évoluer dans un cadre dynamique où le partage et la bonne humeur rythment notre…"
1581,COMMERCIAL DISTRIBUTION B to B 67-68 F/H,Selescope,Monaco (06),,"Au cœur des mutations du système de santé, toujours plus centré sur le patient, nous sommes à la pointe de tous les défis technologiques allant du logiciel…"
1582,Gestionnaire de clientèle bancaire H/F,HAYS,France,,"Vous avez un tempérament de développeur et vous disposez d'un bon relationnel.
Une PME nationale et familiale renforce ses équipes."
1583,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,OpenClassrooms,Nice (06),,"Notre société, acteur reconnu sur son marché intervient dans la vente de solutions pour tous types d’applications hydrauliques."
1584,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,OpenClassrooms,France,,L’expertise IT LINK est sollicitée pour accompagner un de ses partenaires dans son projet ambitieux de développement d’applications et d’outils digitaux…
1585,DÉVELOPPEUR INFORMATIQUE (H/F),OpenClassrooms,France,,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1586,Ingénieur Logiciel Embarqué Junior (F/H),OpenClassrooms,Nice (06),,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1587,DÉVELOPPEUR MAGENTO 2,UEM,Monaco (06),,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1588,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,OpenClassrooms,France,,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1589,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,Marine Nationale,Nice (06),,"Rattaché à un groupe de développement de 5 à 10 collaborateurs, vous êtes en charge de la conception, de la réalisation du développement et de l'écriture de…"
1590,Chef de bureau reporting / business intelligence H/F,Marine Nationale,Nice (06),,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1591,Analyste Testeur Agile / Devops h/f,OpenClassrooms,Monaco (06),,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…
1592,Ingénieur études et développement Java F/H,UEM,Nice (06),,Il sera responsable de la qualification des données en les nettoyant et en les validant afin d’en faciliter l’exploitation par les équipes de data analysts et…
1593,Directeur ingénierie bâtiment H/F,OpenClassrooms,Nice (06),,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1594,Technico-Commercial h/f,Pharmagest,France,,"Rattaché à un groupe de développement de 5 à 10 collaborateurs, vous êtes en charge de la conception, de la réalisation du développement et de l'écriture de…"
1595,Chargé d’Affaires Ingénierie H/F par Humanys,Yun Partners,France,,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1596,INGENIEUR COMMERCIAL REIMS H/F,HAYS,Nice (06),,"Vous avez un tempérament de développeur et vous disposez d'un bon relationnel.
Une PME nationale et familiale renforce ses équipes."
1597,Conseiller clientèle bancaire confirmé H/F,Pharmagest,France,,"Description de l'entreprise : Notre client XS Groupe, est une entreprise franco-allemande d’accompagnement de projets dans l’industrie, familiale et…"
1598,"Chef de secteur Nord-Est GSA, GSS H/F",JBL CONSEIL,France,,Muni d'un véritable tempérament de business développeur vous avez l'habitude de démultiplier les démarches directes et indirectes pour approcher vos cibles.
1599,COMMERCIAL DISTRIBUTION B to B 67-68 F/H,FORSTAFF,Nice (06),,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.
1600,Gestionnaire de clientèle bancaire H/F,HAYS,Monaco (06),,"Votre sens de l’engagement, votre réactivité, votre capacité d’adaptation ainsi que votre esprit de développeur seront des atouts pour réussir dans cette…"
1601,Officier commissionné - Data Engineer H/F,OpenClassrooms,Nice (06),,"Votre mental de développeur et votre persévérance dans la prospection et dans le suivi d'un portefeuille clients.
En quoi consiste le challenge ?"
1602,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,OpenClassrooms,Nice (06),,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.
1603,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,Armée de Terre,France,,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1604,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,IT link,France,,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1605,Développeur Java,API AND YOU,Nice (06),,"En tant que développeur informatique, votre spécialité, vous participez à l'installation, à la mise en oeuvre et à l'exploitation de réseaux informatiques."
1606,Développeur Java,OpenClassrooms,France,,"Vous êtes en quête d’un nouveau challenge au sein d’une équipe dynamique ?
Hormis son musée Pompidou et sa splendide cathédrale, la ville de Metz a de nombreux…"
1607,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,Marine Nationale,France,,"De formation minimum bac +2 à bac +4, vous justifiez d’expériences réussies en tant que développeur Magento 2.
Connaissance du CMS Magento 2."
1608,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,Marine Nationale,Nice (06),,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1609,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,HAYS,France,,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…
1610,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,Selescope,Nice (06),,Il sera responsable de la qualification des données en les nettoyant et en les validant afin d’en faciliter l’exploitation par les équipes de data analysts et…
1611,Développeur Full Stack h/f,IT link,France,,"Prendre part à l’aventure Polymont IT Services, c’est se donner la possibilité d’évoluer dans un cadre dynamique où le partage et la bonne humeur rythment notre…"
1612,Directeur ingénierie bâtiment H/F,Pharmagest,France,,"Vous disposez d’une expérience d’analyste testeur, d’analyste fonctionnel ou de développeur avec une appétence pour les tests, et vous désirez évoluer dans une…"
1613,Technico-Commercial h/f,Yun Partners,Nice (06),,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.
1614,Ingénieur études et développement Java F/H,HAYS,Nice (06),,"Vous avez un tempérament de développeur et vous disposez d'un bon relationnel.
Une PME nationale et familiale renforce ses équipes."
1615,Conseiller clientèle bancaire confirmé H/F,Pharmagest,Nice (06),,"Notre société, acteur reconnu sur son marché intervient dans la vente de solutions pour tous types d’applications hydrauliques."
1616,INGENIEUR COMMERCIAL REIMS H/F,JBL CONSEIL,France,,Muni d'un véritable tempérament de business développeur vous avez l'habitude de démultiplier les démarches directes et indirectes pour approcher vos cibles.
1617,Analyste Testeur Agile / Devops h/f,FORSTAFF,Monaco (06),,L’expertise IT LINK est sollicitée pour accompagner un de ses partenaires dans son projet ambitieux de développement d’applications et d’outils digitaux…
1618,COMMERCIAL DISTRIBUTION B to B 67-68 F/H,HAYS,Monaco (06),,"Votre sens de l’engagement, votre réactivité, votre capacité d’adaptation ainsi que votre esprit de développeur seront des atouts pour réussir dans cette…"
1619,Gestionnaire de clientèle bancaire H/F,OpenClassrooms,Nice (06),,"Votre mental de développeur et votre persévérance dans la prospection et dans le suivi d'un portefeuille clients.
En quoi consiste le challenge ?"
1620,"Chef de secteur Nord-Est GSA, GSS H/F",OpenClassrooms,Nice (06),,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.
1621,Officier commissionné - Data Engineer H/F,OpenClassrooms,France,,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1622,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,OpenClassrooms,France,,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1623,Chef de bureau reporting / business intelligence H/F,UEM,Nice (06),,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1624,Développeur Java,UEM,Nice (06),,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1625,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,OpenClassrooms,France,,"Rattaché à un groupe de développement de 5 à 10 collaborateurs, vous êtes en charge de la conception, de la réalisation du développement et de l'écriture de…"
1626,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,OpenClassrooms,France,,"Rattaché à un groupe de développement de 5 à 10 collaborateurs, vous êtes en charge de la conception, de la réalisation du développement et de l'écriture de…"
1627,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,OpenClassrooms,France,,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1628,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,OpenClassrooms,Nice (06),,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1629,Développeur Java Angular H/F,Pharmagest,Nice (06),,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1630,Analyste Testeur Agile / Devops h/f,IT link,France,,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1631,Directeur ingénierie bâtiment H/F,Selescope,France,,"Au cœur des mutations du système de santé, toujours plus centré sur le patient, nous sommes à la pointe de tous les défis technologiques allant du logiciel…"
1632,Conseiller clientèle bancaire confirmé H/F,HAYS,France,,"Notre société, acteur reconnu sur son marché intervient dans la vente de solutions pour tous types d’applications hydrauliques."
1633,Technico-Commercial h/f,Humaniak,Nice (06),,"Vous avez un tempérament de développeur et vous disposez d'un bon relationnel.
Une PME nationale et familiale renforce ses équipes."
1634,INGENIEUR COMMERCIAL REIMS H/F,Yun Partners,Nice (06),,Muni d'un véritable tempérament de business développeur vous avez l'habitude de démultiplier les démarches directes et indirectes pour approcher vos cibles.
1635,Ingénieur études et développement Java F/H,HAYS,Monaco (06),,L’expertise IT LINK est sollicitée pour accompagner un de ses partenaires dans son projet ambitieux de développement d’applications et d’outils digitaux…
1636,"Chef de secteur Nord-Est GSA, GSS H/F",FORSTAFF,France,,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.
1637,COMMERCIAL DISTRIBUTION B to B 67-68 F/H,JBL CONSEIL,Nice (06),,"Vous disposez d’une expérience d’analyste testeur, d’analyste fonctionnel ou de développeur avec une appétence pour les tests, et vous désirez évoluer dans une…"
1638,Gestionnaire de clientèle bancaire H/F,HAYS,France,,"Votre mental de développeur et votre persévérance dans la prospection et dans le suivi d'un portefeuille clients.
En quoi consiste le challenge ?"
1639,Officier commissionné - Data Engineer H/F,OpenClassrooms,France,,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.
1640,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,Marine Nationale,Nice (06),,"Votre sens de l’engagement, votre réactivité, votre capacité d’adaptation ainsi que votre esprit de développeur seront des atouts pour réussir dans cette…"
1641,Chef de bureau reporting / business intelligence H/F,Marine Nationale,France,,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1642,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,UEM,Nice (06),,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…
1643,Officier commissionné - Data Engineer H/F,OpenClassrooms,Nice (06),,Il sera responsable de la qualification des données en les nettoyant et en les validant afin d’en faciliter l’exploitation par les équipes de data analysts et…
1644,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,OpenClassrooms,Monaco (06),,"Rattaché à un groupe de développement de 5 à 10 collaborateurs, vous êtes en charge de la conception, de la réalisation du développement et de l'écriture de…"
1645,Développeur Java Angular H/F,OpenClassrooms,Nice (06),,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1646,Analyste Testeur Agile / Devops h/f,OpenClassrooms,France,,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1647,Directeur ingénierie bâtiment H/F,Pharmagest,Nice (06),,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1648,Conseiller clientèle bancaire confirmé H/F,Selescope,France,,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1649,Technico-Commercial h/f,HAYS,France,,"Vous disposez d’une expérience d’analyste testeur, d’analyste fonctionnel ou de développeur avec une appétence pour les tests, et vous désirez évoluer dans une…"
1650,INGENIEUR COMMERCIAL REIMS H/F,Yun Partners,France,,L’expertise IT LINK est sollicitée pour accompagner un de ses partenaires dans son projet ambitieux de développement d’applications et d’outils digitaux…
1651,Ingénieur études et développement Java F/H,IT link,Nice (06),,"Notre société, acteur reconnu sur son marché intervient dans la vente de solutions pour tous types d’applications hydrauliques."
1652,"Chef de secteur Nord-Est GSA, GSS H/F",HAYS,Nice (06),,"Vous avez un tempérament de développeur et vous disposez d'un bon relationnel.
Une PME nationale et familiale renforce ses équipes."
1653,COMMERCIAL DISTRIBUTION B to B 67-68 F/H,Pharmagest,Monaco (06),,"Description de l'entreprise : Notre client XS Groupe, est une entreprise franco-allemande d’accompagnement de projets dans l’industrie, familiale et…"
1654,Gestionnaire de clientèle bancaire H/F,JBL CONSEIL,Nice (06),,Muni d'un véritable tempérament de business développeur vous avez l'habitude de démultiplier les démarches directes et indirectes pour approcher vos cibles.
1655,Chef de bureau reporting / business intelligence H/F,HAYS,Nice (06),,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.
1656,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,FORSTAFF,Nice (06),,"Votre sens de l’engagement, votre réactivité, votre capacité d’adaptation ainsi que votre esprit de développeur seront des atouts pour réussir dans cette…"
1657,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,OpenClassrooms,Nice (06),,"Votre mental de développeur et votre persévérance dans la prospection et dans le suivi d'un portefeuille clients.
En quoi consiste le challenge ?"
1658,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Marine Nationale,France,,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.
1659,Développeur Java,Marine Nationale,France,,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1660,Développeur Java,OpenClassrooms,France,,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…
1661,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,OpenClassrooms,France,,Il sera responsable de la qualification des données en les nettoyant et en les validant afin d’en faciliter l’exploitation par les équipes de data analysts et…
1662,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,Marine Nationale,Monaco (06),,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1663,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,polymont,Nice (06),,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1664,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,Pharmagest,Nice (06),,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…
1665,Analyste Testeur Agile / Devops h/f,HAYS,France,,"Au cœur des mutations du système de santé, toujours plus centré sur le patient, nous sommes à la pointe de tous les défis technologiques allant du logiciel…"
1666,Ingénieur études et développement Java F/H,HAYS,Monaco (06),,"Notre société, acteur reconnu sur son marché intervient dans la vente de solutions pour tous types d’applications hydrauliques."
1667,Directeur ingénierie bâtiment H/F,Selescope,Nice (06),,"Vous avez un tempérament de développeur et vous disposez d'un bon relationnel.
Une PME nationale et familiale renforce ses équipes."
1668,Technico-Commercial h/f,Yun Partners,Nice (06),,Muni d'un véritable tempérament de business développeur vous avez l'habitude de démultiplier les démarches directes et indirectes pour approcher vos cibles.
1669,Chargé d’Affaires Ingénierie H/F par Humanys,IT link,France,,L’expertise IT LINK est sollicitée pour accompagner un de ses partenaires dans son projet ambitieux de développement d’applications et d’outils digitaux…
1670,INGENIEUR COMMERCIAL REIMS H/F,FORSTAFF,France,,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.
1671,Conseiller clientèle bancaire confirmé H/F,JBL CONSEIL,France,,"Vous disposez d’une expérience d’analyste testeur, d’analyste fonctionnel ou de développeur avec une appétence pour les tests, et vous désirez évoluer dans une…"
1672,"Chef de secteur Nord-Est GSA, GSS H/F",HAYS,Nice (06),,"Votre mental de développeur et votre persévérance dans la prospection et dans le suivi d'un portefeuille clients.
En quoi consiste le challenge ?"
1673,COMMERCIAL DISTRIBUTION B to B 67-68 F/H,Marine Nationale,Nice (06),,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.
1674,Gestionnaire de clientèle bancaire H/F,OpenClassrooms,France,,"Votre sens de l’engagement, votre réactivité, votre capacité d’adaptation ainsi que votre esprit de développeur seront des atouts pour réussir dans cette…"
1675,Chef de bureau reporting / business intelligence H/F,OpenClassrooms,Monaco (06),,Il sera responsable de la qualification des données en les nettoyant et en les validant afin d’en faciliter l’exploitation par les équipes de data analysts et…
1676,Officier commissionné - Data Engineer H/F,OpenClassrooms,Nice (06),,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1677,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,UEM,Nice (06),,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1678,Officier commissionné - Data Engineer H/F,UEM,France,,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1679,(ALTERNANCE) Développeur Web - Chez l’un de nos partenaires,OpenClassrooms,France,,"Rattaché à un groupe de développement de 5 à 10 collaborateurs, vous êtes en charge de la conception, de la réalisation du développement et de l'écriture de…"
1680,Chef de bureau reporting / business intelligence H/F,OpenClassrooms,France,,"Rattaché à un groupe de développement de 5 à 10 collaborateurs, vous êtes en charge de la conception, de la réalisation du développement et de l'écriture de…"
1681,Développeur Full Stack h/f,OpenClassrooms,Nice (06),,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1682,Directeur ingénierie bâtiment H/F,OpenClassrooms,Nice (06),,"La formation « Développeur d’Application Java » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1683,Technico-Commercial h/f,polymont,France,,"La formation « Développeur d’Application Frontend » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1684,Ingénieur études et développement Java F/H,Pharmagest,Monaco (06),,"La formation « Développeur d’Application PHP / Symfony » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1685,Conseiller clientèle bancaire confirmé H/F,HAYS,Nice (06),,"Vous avez un tempérament de développeur et vous disposez d'un bon relationnel.
Une PME nationale et familiale renforce ses équipes."
1686,INGENIEUR COMMERCIAL REIMS H/F,HAYS,Nice (06),,"Notre société, acteur reconnu sur son marché intervient dans la vente de solutions pour tous types d’applications hydrauliques."
1687,Analyste Testeur Agile / Devops h/f,Selescope,France,,L’expertise IT LINK est sollicitée pour accompagner un de ses partenaires dans son projet ambitieux de développement d’applications et d’outils digitaux…
1688,COMMERCIAL DISTRIBUTION B to B 67-68 F/H,Yun Partners,France,,"Au cœur des mutations du système de santé, toujours plus centré sur le patient, nous sommes à la pointe de tous les défis technologiques allant du logiciel…"
1689,Gestionnaire de clientèle bancaire H/F,IT link,France,,Muni d'un véritable tempérament de business développeur vous avez l'habitude de démultiplier les démarches directes et indirectes pour approcher vos cibles.
1690,"Chef de secteur Nord-Est GSA, GSS H/F",FORSTAFF,Nice (06),,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.
1691,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,JBL CONSEIL,Nice (06),,"Vous disposez d’une expérience d’analyste testeur, d’analyste fonctionnel ou de développeur avec une appétence pour les tests, et vous désirez évoluer dans une…"
1692,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,HAYS,France,,"Votre mental de développeur et votre persévérance dans la prospection et dans le suivi d'un portefeuille clients.
En quoi consiste le challenge ?"
1693,(ALTERNANCE) Développeur Python - Chez l’un de nos partenaires,Marine Nationale,Monaco (06),,"Votre sens de l’engagement, votre réactivité, votre capacité d’adaptation ainsi que votre esprit de développeur seront des atouts pour réussir dans cette…"
1694,(ALTERNANCE) Développeur Java - Chez l’un de nos partenaires,OpenClassrooms,Nice (06),,Votre sens de la relation commerciale et votre tempérament de développeur vous permettront d'évoluer rapidement vers des métiers d'expertise ou de management.
1695,Développeur Java,Marine Nationale,Nice (06),,Il sera responsable de la qualification des données en les nettoyant et en les validant afin d’en faciliter l’exploitation par les équipes de data analysts et…
1696,Développeur Java h/f,OpenClassrooms,France,,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1697,Développeur Full Stack h/f,Marine Nationale,France,,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…
1698,RESPONSABLE DE SECTEUR EST H/F,Marine Nationale,France,,"La formation « Développeur web » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
1699,Directeur ingénierie bâtiment H/F,polymont,,,La spécialité de Chef de bureau reporting - business intelligence ouvre droit à la PLS conformément à l’arrêté du 13 décembre 2019 modifiant l’arrêté du 20 mai…
